,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,100.37557220458984,113.1592025756836,41.0343017578125,192.69000244140625,109.80000305175781,130.3800048828125,45.959999084472656,192.69000244140625,110.48999786376953,131.2899932861328,46.2400016784668,195.1999969482422,108.5,128.9499969482422,45.619998931884766,185.0,109.04000091552734,129.02999877929688,45.959999084472656,185.8300018310547,48956600,3559500,29719600,11551900
2015-01-15,97.65131378173828,112.9509048461914,40.60575485229492,191.8699951171875,106.81999969482422,130.13999938964844,45.47999954223633,191.8699951171875,110.05999755859375,131.8300018310547,46.380001068115234,195.75,106.66000366210938,129.6999969482422,45.40999984741211,190.0,110.0,130.25,46.220001220703125,194.49000549316406,60014000,3902000,32750800,5216500
2015-01-16,96.89256286621094,113.5063705444336,41.2843017578125,193.07000732421875,105.98999786376953,130.77999877929688,46.2400016784668,193.07000732421875,107.58000183105469,131.02000427246094,46.279998779296875,194.49000549316406,105.19999694824219,129.11000061035156,45.16999816894531,189.64999389648438,107.02999877929688,129.75,45.310001373291016,190.6999969482422,78513300,4425600,35695300,3603200
2015-01-20,99.38829040527344,113.88826751708984,41.418216705322266,191.92999267578125,108.72000122070312,131.22000122070312,46.38999938964844,191.92999267578125,108.97000122070312,132.0,46.650001525878906,194.1199951171875,106.5,129.4499969482422,45.56999969482422,187.0399932861328,107.83999633789062,131.4499969482422,46.29999923706055,193.8699951171875,49899900,3143700,36161900,4503200
2015-01-21,100.14701080322266,114.92110443115234,40.99858474731445,196.57000732421875,109.55000305175781,132.41000366210938,45.91999816894531,196.57000732421875,111.05999755859375,132.8699951171875,46.13999938964844,198.67999267578125,108.2699966430664,130.57000732421875,45.47999954223633,189.50999450683594,108.94999694824219,130.8699951171875,45.939998626708984,189.5500030517578,48575900,2898000,39081100,4153000
2015-01-22,102.75240325927734,117.72445678710938,42.07891082763672,201.6199951171875,112.4000015258789,135.63999938964844,47.130001068115234,201.6199951171875,112.47000122070312,136.2100067138672,47.13999938964844,203.24000549316406,109.72000122070312,133.0500030517578,46.08000183105469,195.1999969482422,110.26000213623047,133.3800048828125,46.380001068115234,197.0,53796400,4971300,35898000,4116900
2015-01-23,103.28260803222656,116.83915710449219,42.12355041503906,201.2899932861328,112.9800033569336,134.6199951171875,47.18000030517578,201.2899932861328,113.75,135.77999877929688,47.38999938964844,203.5,111.52999877929688,134.60000610351562,46.79999923706055,198.3300018310547,112.30000305175781,135.57000732421875,47.36000061035156,200.2899932861328,46464800,3828300,26211600,3438600
2015-01-26,103.3923110961914,116.36182403564453,41.971763610839844,206.5500030517578,113.0999984741211,134.07000732421875,47.0099983215332,206.5500030517578,114.36000061035156,135.25,47.130001068115234,208.6199951171875,112.80000305175781,133.52999877929688,46.2400016784668,201.0500030517578,113.73999786376953,135.0,47.0,201.8300018310547,55615000,3900500,42525500,3234500
2015-01-27,99.77220916748047,114.98181915283203,38.087982177734375,205.97999572753906,109.13999938964844,132.47999572753906,42.65999984741211,205.97999572753906,112.4800033569336,132.99000549316406,43.20000076293945,208.02999877929688,109.02999877929688,130.74000549316406,42.11000061035156,203.3000030517578,112.41999816894531,132.39999389648438,42.95000076293945,204.4199981689453,95568700,5243900,169164000,2781000
2015-01-28,105.41262817382812,121.19615936279297,36.7755241394043,199.3699951171875,115.30999755859375,139.63999938964844,41.189998626708984,199.3699951171875,118.12000274658203,141.88999938964844,42.790000915527344,206.3699951171875,115.30999755859375,135.9199981689453,41.15999984741211,198.4199981689453,117.62999725341797,136.3000030517578,42.7400016784668,206.11000061035156,146477100,14355100,84507100,3149600
